Job Name,# Interviews,Applied,Closed date,Closed date (manual),Closed?,Company,Date applied,Days to 1st interview,Final status,First interview date,Follow up by phone/ email,Ghosted?,Interview bucket,Interviewed?,Interviews,Interviews count (num),Latest interview date,Link,Location,Notes,Offer outcome?,Referral,Status,Turnaround (days),Type
BD,0,Applied,29-May-26,,Yes,Biorender (https://www.notion.so/Biorender-35039ef8ca4580a0894ec5e02517ae9e?pvs=21),29-Apr-26,,Ghosted,,04-May-26,Yes,No interview (0),No,,0,,,,,No,Angelo (https://www.notion.so/Angelo-35039ef8ca4580afbcb2d9a62efee20f?pvs=21),"Applied, Ghosted",30,
Data Entry & Admin Assistant,0,Applied,30-Apr-26,30-Apr-26,Yes,MB Labs (https://www.notion.so/MB-Labs-34f39ef8ca458071bd3bfec3fa451e83?pvs=21),27-Apr-26,,Rejected,,,No,No interview (0),No,,0,,https://ca.indeed.com/viewjob?jk=1c2fec62c76c970b&l=sidney%2C+bc&tk=1jn80201gi95r801&from=web&advn=7805992666366760&adid=461074389&ad=-6NYlbfkN0Aux156dO3eAATensHrjN0CoIT_8Bay-mW4XZXGRPQgbKl912bABOAlUdOhf01TJe200FUsdgqMDBry3rICRBu_UoRNpxvXDT80ZyFipFsn9yF6T0BSatR88Cc1ikGgtHnGDky4O3SRfbUrh-9r_vCJ08dcuI3996cGFQX6amSS3sTM8FwcxC2Fd-tuHIq6RNe66apiQjcl9L6HKpyos-jHfRfuMY67OCe0R5sK2nonZbVnkxmCVKC-4YNlYUZSAUv3XGbwE0CaUrWmOuYMSSA5W664oG0T_QqCN2B4v0A2MaHIz5OMB_qKhNM-MAAAFcGp9zUts4sKuOjKvRfWeu61S3ewnOAEwHdAJBaPX-U1Eb127286zdbh33rqr3XYyYJIflNovwKGD21mkuiVTndKQp4pQOXrF-WEooKOsA8M_D6iXrcMmf8gxsVXlVnYRuvPEcF-sW5Bf7lizQ5mZ0YC6KB2tehUh2VIbLxpJZyJ_tQPcxDCL2dT3Cmyrl8sO0DrIAlg8TVU3zLQhUOwPbSnCfzIPoIzoag%3D&pub=4a1b367933fd867b19b072952f68dceb&camk=C3EPSzFlQw97QEuPp-8N5g%3D%3D&xkcb=SoDa6_M3koIH0fXzXp0cbzkdCdPP&xpse=SoDb6_I3korEFmAHiD0PbzkdCdPP&xfps=053be320-9566-43f9-ad9a-67ae4c831ebd&vjs=3,Victoria,,No,Faiza  (https://www.notion.so/Faiza-35239ef8ca458077ad76c4631d6679e2?pvs=21),"Applied, Follow up in a bit, Rejected",3,In person
Project leader,2,Applied,27-May-26,27-May-26,Yes,MindWalk Holdings Corp. (https://www.notion.so/MindWalk-Holdings-Corp-34839ef8ca458028b6f0c31d4901b5c7?pvs=21),29-Apr-26,8,Position closed,07-May-26,05-May-26,No,Interview (2),Yes,"MindWalk — 20‑min call (https://www.notion.so/MindWalk-20-min-call-f9503b022adf4d2b8d17888c6fc93159?pvs=21), MindWalk —  HR Manager (https://www.notion.so/MindWalk-HR-Manager-37539ef8ca4580fb8e3bd99418ce4222?pvs=21)",2,12-May-26,https://www.mindwalkai.com/company/careers/open-positions/project-team-leader,Victoria,Followed up over the phone. Left a message,No,"Liam LaFleu (https://www.notion.so/Liam-LaFleu-35139ef8ca4580b195a1f1aa30262cc3?pvs=21), Adam Waldbilig (https://www.notion.so/Adam-Waldbilig-35239ef8ca458009a754db754bee7f44?pvs=21), Shawn Shortill (https://www.notion.so/Shawn-Shortill-35739ef8ca4580db891cce7fdf421bdf?pvs=21)","Applied, Interview, Position closed",28,In person
Business Development Associate,1,Applied,30-May-26,,Yes,Meducom (https://www.notion.so/Meducom-35239ef8ca458049823cf544708c5b39?pvs=21),30-Apr-26,27,Ghosted,27-May-26,01-May-26,Yes,Interview (1),Yes,Meducom - Take home (https://www.notion.so/Meducom-Take-home-37539ef8ca458072b02fe72b740fe874?pvs=21),1,27-May-26,https://www.meducom.ca/careers,Guelph,,No,Stephen Bobesich (https://www.notion.so/Stephen-Bobesich-37439ef8ca458037b537f36a7940d165?pvs=21),Interview,30,In person
Client Success Manger,1,Applied,01-Apr-26,01-Apr-26,Yes,Phreesia (https://www.notion.so/Phreesia-35239ef8ca4580b9bb98db5f7a2840e9?pvs=21),03-Mar-26,15,Rejected,18-Mar-26,,No,Interview (1),Yes,Phreesia - HR Screening  (https://www.notion.so/Phreesia-HR-Screening-37539ef8ca4580048687f129aafbe0b6?pvs=21),1,18-Mar-26,,Toronto,,No,"Jenna McHugh (https://www.notion.so/Jenna-McHugh-35239ef8ca4580f0a69dddb277e7b902?pvs=21), Shante Bedford (https://www.notion.so/Shante-Bedford-35239ef8ca4580f7a928e1bf8161571f?pvs=21)","Applied, Interview, Rejected",29,Remote
Clinical Implementation Specialist ,3,Applied,11-Jun-26,11-Jun-26,Yes,Firstline (https://www.notion.so/Firstline-35239ef8ca45801eac7feba4c20e5c09?pvs=21),27-Feb-26,6,Offer accepted,05-Mar-26,,No,Interview (3),Yes,"Firstline - Reconnect (https://www.notion.so/Firstline-Reconnect-37539ef8ca4580fea1ccdd49a9901cc8?pvs=21), Firstline - Panel (https://www.notion.so/Firstline-Panel-37539ef8ca458090a87ce7a396ca2431?pvs=21), Firstline - HR screening (https://www.notion.so/Firstline-HR-screening-37539ef8ca4580ac833dcc17b7b0a63d?pvs=21)",3,29-May-26,,Victoria,Took them a really long time to hire. Ghosted me on the rejection but when I reached out they said they would keep me in mind for future positions ,Yes,"Chiara-lyse (https://www.notion.so/Chiara-lyse-35239ef8ca45807e8705e5f334630d65?pvs=21), Michael Ferrelli (https://www.notion.so/Michael-Ferrelli-35239ef8ca458005a7b3dc4091a689b7?pvs=21)","Interview, Offer, Rejected",104,Remote
Field Application Scientist Position,0,Applied,04-Mar-26,04-Mar-26,Yes,Bioinformatics solutions inc (https://www.notion.so/Bioinformatics-solutions-inc-35239ef8ca4580ffac3ae59f97e26e3f?pvs=21),03-Mar-26,,Rejected,,,No,No interview (0),No,,0,,,,,No,Jenny Zhu (https://www.notion.so/Jenny-Zhu-35239ef8ca45808e8931fc84af252de1?pvs=21),"Applied, Follow up in a bit, Interview, Rejected",1,
Project Management Drug Discovery,0,Applied,26-May-26,26-May-26,Yes,Variational AI (https://www.notion.so/Variational-AI-35239ef8ca4580d9a209e671f69af30a?pvs=21),04-May-26,,Position closed,,,No,No interview (0),No,,0,,https://variationalai.bamboohr.com/careers/30,,Position,No,Handol Kim (https://www.notion.so/Handol-Kim-35639ef8ca458071a5e5dcf715f874ba?pvs=21),"Applied, Follow up in a bit, Position closed",22,
Business Development Rep,0,Applied,30-May-26,,Yes,AGAT Laboratories (https://www.notion.so/AGAT-Laboratories-35239ef8ca4580398fdec32ee449c845?pvs=21),30-Apr-26,,Ghosted,,,Yes,No interview (0),No,,0,,https://agatlaboratories.applytojob.com/apply/wqAVEW8khy/Business-Development-Representative,,,No,,"Applied, Ghosted",30,
Sales Account Manager,3,Applied,11-Jun-26,11-Jun-26,Yes,Chromatographic Specialties Inc. (https://www.notion.so/Chromatographic-Specialties-Inc-35339ef8ca4580b4bb7fee19dc191c31?pvs=21),01-May-26,12,Withdrew,13-May-26,,No,Interview (3),Yes,"Chrom Spec - Hiring Manager (https://www.notion.so/Chrom-Spec-Hiring-Manager-37539ef8ca45809ab7e0f822882796a3?pvs=21), Chrom Spec - Technical  (https://www.notion.so/Chrom-Spec-Technical-37539ef8ca458095aadcc709c6d2e40e?pvs=21), Chrom Spec - Final? (https://www.notion.so/Chrom-Spec-Final-37539ef8ca458096bacaef0b933fae11?pvs=21)",3,10-Jun-26,https://www.linkedin.com/jobs/search-results/?currentJobId=4403781696&keywords=full-time%20Customer%20Success%20Specialist%20or%20Business%20Development%20Specialist%2C%20on-site%20or%20hybrid&origin=PREFERENCES_LANDING&geoId=101174742,Toronto,,No," Martin McKend (https://www.notion.so/Martin-McKend-35339ef8ca45806a9278fa175c533067?pvs=21), Jinyi Guan (https://www.notion.so/Jinyi-Guan-35839ef8ca4580858125cbb25031ab5f?pvs=21), Tania Villeneuve (https://www.notion.so/Tania-Villeneuve-35a39ef8ca458002bdb9ef2516c180d0?pvs=21)",Withdrew,41,In person
 Scientific Sales Representative,0,Applied,08-Mar-26,,Yes,Rapid Novor Inc (https://www.notion.so/Rapid-Novor-Inc-35339ef8ca4580309d5ddb0720999335?pvs=21),08-Feb-26,,Ghosted,,,Yes,No interview (0),No,,0,,,,,No,,"Applied, Ghosted",28,
Sale rep,0,Applied,12-Mar-26,,Yes,CARO Analytical Services (https://www.notion.so/CARO-Analytical-Services-35339ef8ca45802eb7ecfd001c5b9b53?pvs=21),12-Feb-26,,Ghosted,,,Yes,No interview (0),No,,0,,,,,No,,"Applied, Ghosted",28,
Discovery Canada Research Hardware Sales Specialist,0,Applied,21-Feb-26,21-Feb-26,Yes,Cytiva (https://www.notion.so/Cytiva-35339ef8ca458066b202f30fa5697371?pvs=21),12-Feb-26,,Rejected,,,No,No interview (0),No,,0,,,,,No,,"Applied, Rejected",9,
General application,0,Applied,23-May-26,,Yes,Entos Pharma (https://www.notion.so/Entos-Pharma-34b39ef8ca458069abc7d16c5c6a4da6?pvs=21),23-Apr-26,,Ghosted,,,Yes,No interview (0),No,,0,,,,,No,,"Applied, Ghosted",30,
